subject_id,ratio_good_channels,total_channels,status
sub-101,1.0,204,Keep
sub-104,1.0,204,Keep
sub-105,0.96,204,Keep
sub-106,0.49,204,Exclude
sub-107,1.0,204,Keep
sub-108,1.0,204,Keep
sub-109,1.0,204,Keep
sub-110,0.9,204,Keep
sub-111,1.0,204,Keep
sub-112,1.0,204,Keep
sub-113,0.93,204,Keep
sub-118,0.91,204,Keep
sub-119,1.0,204,Keep
sub-120,0.99,204,Keep
sub-122,1.0,204,Keep
sub-123,1.0,204,Keep
sub-124,0.61,204,Keep
sub-125,1.0,204,Keep
sub-128,0.01,204,Exclude
sub-129,0.47,204,Exclude
sub-132,0.94,204,Keep
sub-134,1.0,204,Keep
sub-135,1.0,204,Keep
sub-136,1.0,204,Keep
sub-137,1.0,204,Keep
sub-139,0.99,204,Keep
sub-140,1.0,204,Keep
sub-145,0.93,204,Keep
sub-149,1.0,204,Keep
sub-157,1.0,204,Keep
sub-159,1.0,204,Keep
sub-162,1.0,204,Keep
sub-166,1.0,204,Keep
sub-168,0.99,204,Keep
sub-169,1.0,204,Keep
sub-170,0.78,204,Keep
